" Sunday - September 7 at  7am  Temperature: 49 ,deg;F","Dewpoint: 44 ,deg;F","Heat Index: N/A","Surface Wind: W 2mph Sky Cover (%): 24%","Precipitation Potential (%): 0%","Relative Humidity (%): 83% Rain: <10%","Thunder: <10%"
" Sunday - September 7 at  8am  Temperature: 51 ,deg;F","Dewpoint: 45 ,deg;F","Heat Index: N/A","Surface Wind: W 3mph Sky Cover (%): 23%","Precipitation Potential (%): 0%","Relative Humidity (%): 80% Rain: <10%","Thunder: <10%"
" Sunday - September 7 at  9am  Temperature: 55 ,deg;F","Dewpoint: 45 ,deg;F","Heat Index: N/A","Surface Wind: NW 5mph Sky Cover (%): 22%","Precipitation Potential (%): 0%","Relative Humidity (%): 69% Rain: <10%","Thunder: <10%"
" Sunday - September 7 at  10am  Temperature: 59 ,deg;F","Dewpoint: 45 ,deg;F","Heat Index: N/A","Surface Wind: NW 6mph Sky Cover (%): 22%","Precipitation Potential (%): 0%","Relative Humidity (%): 59% Rain: <10%","Thunder: <10%"
" Sunday - September 7 at  11am  Temperature: 63 ,deg;F","Dewpoint: 45 ,deg;F","Heat Index: N/A","Surface Wind: NW 6mph Sky Cover (%): 21%","Precipitation Potential (%): 0%","Relative Humidity (%): 52% Rain: <10%","Thunder: <10%"
" Sunday - September 7 at  12pm  Temperature: 66 ,deg;F","Dewpoint: 44 ,deg;F","Heat Index: N/A","Surface Wind: NW 7mph Sky Cover (%): 26%","Precipitation Potential (%): 0%","Relative Humidity (%): 46% Rain: <10%","Thunder: <10%"
" Sunday - September 7 at  1pm  Temperature: 68 ,deg;F","Dewpoint: 44 ,deg;F","Heat Index: N/A","Surface Wind: NW 8mph Sky Cover (%): 30%","Precipitation Potential (%): 0%","Relative Humidity (%): 42% Rain: <10%","Thunder: <10%"
" Sunday - September 7 at  2pm  Temperature: 69 ,deg;F","Dewpoint: 43 ,deg;F","Heat Index: N/A","Surface Wind: NW 9mph Sky Cover (%): 35%","Precipitation Potential (%): 0%","Relative Humidity (%): 39% Rain: <10%","Thunder: <10%"
" Sunday - September 7 at  3pm  Temperature: 70 ,deg;F","Dewpoint: 43 ,deg;F","Heat Index: N/A","Surface Wind: NW 9mph Sky Cover (%): 30%","Precipitation Potential (%): 0%","Relative Humidity (%): 37% Rain: <10%","Thunder: <10%"
" Sunday - September 7 at  4pm  Temperature: 71 ,deg;F","Dewpoint: 42 ,deg;F","Heat Index: N/A","Surface Wind: NW 9mph Sky Cover (%): 25%","Precipitation Potential (%): 0%","Relative Humidity (%): 36% Rain: <10%","Thunder: <10%"
" Sunday - September 7 at  5pm  Temperature: 70 ,deg;F","Dewpoint: 42 ,deg;F","Heat Index: N/A","Surface Wind: NW 8mph Sky Cover (%): 20%","Precipitation Potential (%): 0%","Relative Humidity (%): 36% Rain: <10%","Thunder: <10%"
" Sunday - September 7 at  6pm  Temperature: 68 ,deg;F","Dewpoint: 42 ,deg;F","Heat Index: N/A","Surface Wind: NW 7mph Sky Cover (%): 17%","Precipitation Potential (%): 0%","Relative Humidity (%): 38% Rain: <10%","Thunder: <10%"
" Sunday - September 7 at  7pm  Temperature: 66 ,deg;F","Dewpoint: 42 ,deg;F","Heat Index: N/A","Surface Wind: NW 7mph Sky Cover (%): 13%","Precipitation Potential (%): 0%","Relative Humidity (%): 42% Rain: <10%","Thunder: <10%"
" Sunday - September 7 at  8pm  Temperature: 63 ,deg;F","Dewpoint: 42 ,deg;F","Heat Index: N/A","Surface Wind: NW 6mph Sky Cover (%): 10%","Precipitation Potential (%): 0%","Relative Humidity (%): 46% Rain: <10%","Thunder: <10%"
" Sunday - September 7 at  9pm  Temperature: 61 ,deg;F","Dewpoint: 43 ,deg;F","Heat Index: N/A","Surface Wind: NW 5mph Sky Cover (%): 10%","Precipitation Potential (%): 0%","Relative Humidity (%): 52% Rain: <10%","Thunder: <10%"
" Sunday - September 7 at  10pm  Temperature: 58 ,deg;F","Dewpoint: 43 ,deg;F","Heat Index: N/A","Surface Wind: NW 3mph Sky Cover (%): 11%","Precipitation Potential (%): 0%","Relative Humidity (%): 58% Rain: <10%","Thunder: <10%"
" Sunday - September 7 at  11pm  Temperature: 56 ,deg;F","Dewpoint: 44 ,deg;F","Heat Index: N/A","Surface Wind: NW 2mph Sky Cover (%): 11%","Precipitation Potential (%): 0%","Relative Humidity (%): 64% Rain: <10%","Thunder: <10%"
" Monday - September 8 at  12am  Temperature: 54 ,deg;F","Dewpoint: 44 ,deg;F","Heat Index: N/A","Surface Wind: NW 2mph Sky Cover (%): 7%","Precipitation Potential (%): 0%","Relative Humidity (%): 69% Rain: <10%","Thunder: <10%"
" Monday - September 8 at  1am  Temperature: 52 ,deg;F","Dewpoint: 44 ,deg;F","Heat Index: N/A","Surface Wind: N 2mph Sky Cover (%): 4%","Precipitation Potential (%): 0%","Relative Humidity (%): 73% Rain: <10%","Thunder: <10%"
" Monday - September 8 at  2am  Temperature: 51 ,deg;F","Dewpoint: 44 ,deg;F","Heat Index: N/A","Surface Wind: N 2mph Sky Cover (%): 0%","Precipitation Potential (%): 0%","Relative Humidity (%): 77% Rain: <10%","Thunder: <10%"
" Monday - September 8 at  3am  Temperature: 49 ,deg;F","Dewpoint: 44 ,deg;F","Heat Index: N/A","Surface Wind: N 2mph Sky Cover (%): 0%","Precipitation Potential (%): 0%","Relative Humidity (%): 81% Rain: <10%","Thunder: <10%"
" Monday - September 8 at  4am  Temperature: 48 ,deg;F","Dewpoint: 43 ,deg;F","Heat Index: N/A","Surface Wind: N 2mph Sky Cover (%): 1%","Precipitation Potential (%): 0%","Relative Humidity (%): 84% Rain: <10%","Thunder: <10%"
" Monday - September 8 at  5am  Temperature: 47 ,deg;F","Dewpoint: 43 ,deg;F","Heat Index: N/A","Surface Wind: N 2mph Sky Cover (%): 1%","Precipitation Potential (%): 0%","Relative Humidity (%): 86% Rain: <10%","Thunder: <10%"
" Monday - September 8 at  6am  Temperature: 46 ,deg;F","Dewpoint: 43 ,deg;F","Heat Index: N/A","Surface Wind: N 2mph Sky Cover (%): 1%","Precipitation Potential (%): 0%","Relative Humidity (%): 89% Rain: <10%","Thunder: <10%"
" Monday - September 8 at  7am  Temperature: 46 ,deg;F","Dewpoint: 43 ,deg;F","Heat Index: N/A","Surface Wind: N 2mph Sky Cover (%): 2%","Precipitation Potential (%): 0%","Relative Humidity (%): 90% Rain: <10%","Thunder: <10%"
" Monday - September 8 at  8am  Temperature: 48 ,deg;F","Dewpoint: 44 ,deg;F","Heat Index: N/A","Surface Wind: N 2mph Sky Cover (%): 2%","Precipitation Potential (%): 0%","Relative Humidity (%): 86% Rain: <10%","Thunder: <10%"
" Monday - September 8 at  9am  Temperature: 53 ,deg;F","Dewpoint: 45 ,deg;F","Heat Index: N/A","Surface Wind: NE 2mph Sky Cover (%): 2%","Precipitation Potential (%): 0%","Relative Humidity (%): 75% Rain: <10%","Thunder: <10%"
